"policy_id";"customer_id";"product_type";"coverage_amount";"annual_premium";"policy_start_date";"policy_end_date";"agent_id";"status"
"POL50129";"CUST10077";"Property";791046.36;47015.31;"2023-02-27 00:00:00";"2023-11-26 00:00:00";"AGT5156";"Active"
"POL50130";"CUST11035";"Term";645759.62;34304.63;"2021-08-21 00:00:00";"2022-10-20 00:00:00";"AGT5252";"Lapsed"
"POL50131";"CUST10940";"Health";167035.54;47731.63;"2024-06-14 00:00:00";"2025-06-04 00:00:00";"AGT5242";"Active"
"POL50132";"CUST11684";"Term";197552.56;43641.75;"2021-08-24 00:00:00";"2024-04-08 00:00:00";"AGT5149";"Cancelled"
"POL50133";"CUST10808";"Term";927838.69;28296.24;"2023-03-28 00:00:00";"2023-08-08 00:00:00";"AGT5269";"Lapsed"
"POL50135";"CUST10177";"Vehicle";293809.48;40343.71;"2023-07-31 00:00:00";"2023-08-05 00:00:00";"AGT5099";"Cancelled"
"POL50136";"CUST10654";"Term";954055.38;45435.29;"2022-12-19 00:00:00";"2024-02-09 00:00:00";"AGT5210";"Active"
"POL50140";"CUST12478";"Health";313985.47;30711.36;"2024-06-25 00:00:00";"2024-12-06 00:00:00";"AGT5005";"Cancelled"
"POL50141";"CUST12434";"Whole";100770.05;28049.8;"2021-08-29 00:00:00";"2024-01-20 00:00:00";"AGT5158";"Active"
"POL50143";"CUST11632";"Health";141895.73;33263.25;"2022-07-18 00:00:00";"2023-02-15 00:00:00";"AGT5085";"Cancelled"
"POL50144";"CUST11213";"Term";343172.13;40924.17;"2022-09-20 00:00:00";"2024-09-23 00:00:00";"AGT5096";"Lapsed"
"POL50145";"CUST12445";"Whole";576462.87;28255.76;"2024-02-25 00:00:00";"2024-10-23 00:00:00";"AGT5051";"Cancelled"
"POL50148";"CUST10917";"Property";282392.31;44480.73;"2024-07-10 00:00:00";"2025-03-27 00:00:00";"AGT5076";"Active"
"POL50149";"CUST12167";"Vehicle";286594.32;21817.94;"2023-01-22 00:00:00";"2024-05-01 00:00:00";"AGT5131";"Lapsed"
"POL50150";"CUST10646";"Health";846956.1;36758.23;"2023-11-11 00:00:00";"2024-07-08 00:00:00";"AGT5210";"Cancelled"
"POL50151";"CUST11278";"Term";827365.3;12617.37;"2020-11-13 00:00:00";"2025-02-07 00:00:00";"AGT5241";"Lapsed"
"POL50152";"CUST11629";"Vehicle";637674.02;14735.92;"2023-09-07 00:00:00";"2023-09-25 00:00:00";"AGT5037";"Active"
"POL50154";"CUST10181";"Term";154649.4;41717.73;"2023-01-11 00:00:00";"2023-06-28 00:00:00";"AGT5119";"Cancelled"
"POL50155";"CUST10194";"Vehicle";511041.72;19733.11;"2022-11-16 00:00:00";"2025-07-16 00:00:00";"AGT5002";"Lapsed"
"POL50158";"CUST10061";"Health";416439.4;32264.46;"2022-02-02 00:00:00";"2024-02-12 00:00:00";"AGT5191";"Active"
"POL50159";"CUST11494";"Vehicle";932197.03;7215.28;"2024-04-23 00:00:00";"2024-11-03 00:00:00";"AGT5260";"Cancelled"
"POL50161";"CUST10599";"Health";600307.39;24306.4;"2021-12-13 00:00:00";"2022-10-15 00:00:00";"AGT5197";"Lapsed"
"POL50162";"CUST11475";"Property";675536.78;25807.43;"2022-02-05 00:00:00";"2024-01-26 00:00:00";"AGT5210";"Active"
"POL50164";"CUST10089";"Health";403929.9;33701.17;"2023-11-08 00:00:00";"2025-03-11 00:00:00";"AGT5024";"Active"
"POL50166";"CUST10042";"Whole";542633.39;7244.52;"2023-11-28 00:00:00";"2025-03-22 00:00:00";"AGT5241";"Lapsed"
"POL50167";"CUST10766";"Vehicle";314854.55;3394.11;"2023-09-12 00:00:00";"2024-04-07 00:00:00";"AGT5105";"Lapsed"
"POL50168";"CUST11267";"Health";920608.67;47902.76;"2021-09-07 00:00:00";"2024-02-18 00:00:00";"AGT5213";"Active"
"POL50169";"CUST12360";"Vehicle";594550.07;9010.26;"2021-02-27 00:00:00";"2021-03-02 00:00:00";"AGT5295";"Active"
"POL50170";"CUST10444";"Property";467143.44;36337.26;"2022-04-06 00:00:00";"2022-11-06 00:00:00";"AGT5012";"Active"
"POL50171";"CUST11284";"Vehicle";417868.86;16342.56;"2023-07-17 00:00:00";"2024-02-01 00:00:00";"AGT5293";"Active"
"POL50173";"CUST11515";"Health";435282.08;4945.44;"2023-04-06 00:00:00";"2024-07-02 00:00:00";"AGT5192";"Lapsed"
"POL50174";"CUST10844";"Property";613221.17;37425.62;"2021-06-26 00:00:00";"2022-06-16 00:00:00";"AGT5017";"Cancelled"
"POL50176";"CUST10369";"Whole";935852.47;26200.79;"2024-04-26 00:00:00";"2025-03-28 00:00:00";"AGT5049";"Cancelled"
"POL50178";"CUST11033";"Whole";103391.78;32972.37;"2021-07-31 00:00:00";"2021-09-23 00:00:00";"AGT5254";"Lapsed"
"POL50180";"CUST12248";"Health";245136.82;45961.14;"2023-10-24 00:00:00";"2024-02-13 00:00:00";"AGT5111";"Active"
"POL50181";"CUST11554";"Whole";600832.17;30630.86;"2021-07-23 00:00:00";"2023-10-23 00:00:00";"AGT5082";"Active"
"POL50184";"CUST11657";"Vehicle";224708.41;49666.67;"2020-08-24 00:00:00";"2021-12-20 00:00:00";"AGT5232";"Lapsed"
"POL50185";"CUST12070";"Property";541202.33;21726.79;"2021-12-03 00:00:00";"2024-12-15 00:00:00";"AGT5228";"Lapsed"
"POL50187";"CUST12048";"Health";632551.4;30915.1;"2024-06-17 00:00:00";"2025-05-27 00:00:00";"AGT5236";"Lapsed"
"POL50188";"CUST12341";"Health";359350.66;42116.51;"2023-02-05 00:00:00";"2025-05-29 00:00:00";"AGT5192";"Cancelled"
"POL50189";"CUST12396";"Health";744031.1;12118.12;"2023-10-16 00:00:00";"2025-07-18 00:00:00";"AGT5184";"Lapsed"
"POL50191";"CUST11273";"Health";450764.51;13802.06;"2024-03-31 00:00:00";"2025-05-11 00:00:00";"AGT5225";"Cancelled"
"POL50192";"CUST10372";"Whole";712934.57;13650.98;"2024-01-10 00:00:00";"2024-05-29 00:00:00";"AGT5208";"Active"
"POL50193";"CUST11595";"Property";829758.97;30656.2;"2022-04-09 00:00:00";"2025-04-01 00:00:00";"AGT5090";"Lapsed"
"POL50194";"CUST11612";"Whole";159712.12;10431.99;"2024-01-22 00:00:00";"2024-09-10 00:00:00";"AGT5133";"Cancelled"
"POL50195";"CUST11085";"Property";266305.34;24818.35;"2021-11-14 00:00:00";"2023-01-23 00:00:00";"AGT5184";"Cancelled"
"POL50196";"CUST11154";"Whole";599385.37;12540.1;"2020-12-12 00:00:00";"2024-12-05 00:00:00";"AGT5116";"Active"
"POL50197";"CUST10153";"Whole";690451.68;13882.26;"2022-03-08 00:00:00";"2022-05-02 00:00:00";"AGT5083";"Lapsed"
"POL50199";"CUST10117";"Property";489075.06;5465.88;"2022-08-28 00:00:00";"2022-09-01 00:00:00";"AGT5055";"Lapsed"
"POL50200";"CUST11912";"Vehicle";662144.33;24121.11;"2023-08-12 00:00:00";"2025-03-03 00:00:00";"AGT5041";"Lapsed"
"POL50201";"CUST11530";"Term";515509.24;30771.14;"2021-12-04 00:00:00";"2022-06-03 00:00:00";"AGT5250";"Lapsed"
"POL50202";"CUST10690";"Term";805087.68;21726.27;"2022-08-07 00:00:00";"2023-12-13 00:00:00";"AGT5080";"Active"
"POL50203";"CUST11188";"Term";787788.22;29401.14;"2024-04-20 00:00:00";"2025-07-19 00:00:00";"AGT5228";"Lapsed"
"POL50204";"CUST10917";"Term";823787.45;34047.77;"2023-07-10 00:00:00";"2024-10-08 00:00:00";"AGT5017";"Active"
"POL50206";"CUST11357";"Vehicle";271592.13;20669.78;"2024-05-31 00:00:00";"2024-11-27 00:00:00";"AGT5279";"Lapsed"
"POL50209";"CUST11960";"Vehicle";603066.9;3586.06;"2023-05-14 00:00:00";"2024-05-15 00:00:00";"AGT5219";"Cancelled"
"POL50210";"CUST11981";"Property";709723.06;4171.61;"2023-12-23 00:00:00";"2024-12-30 00:00:00";"AGT5007";"Lapsed"
"POL50211";"CUST10242";"Whole";896720.27;46921.6;"2024-01-20 00:00:00";"2025-05-13 00:00:00";"AGT5075";"Cancelled"
"POL50212";"CUST10401";"Vehicle";704529.62;14486.37;"2022-04-18 00:00:00";"2022-06-18 00:00:00";"AGT5110";"Lapsed"
"POL50213";"CUST11419";"Health";554719.5;34562.09;"2023-12-13 00:00:00";"2024-12-14 00:00:00";"AGT5183";"Lapsed"
"POL50214";"CUST12340";"Vehicle";953247.96;13589.39;"2024-03-12 00:00:00";"2024-04-21 00:00:00";"AGT5149";"Active"
"POL50215";"CUST11576";"Whole";476381.96;39052.12;"2024-06-01 00:00:00";"2024-08-30 00:00:00";"AGT5121";"Lapsed"
"POL50216";"CUST11081";"Term";890098.6;37235.04;"2022-08-28 00:00:00";"2024-12-21 00:00:00";"AGT5229";"Active"
"POL50217";"CUST11557";"Health";797411.59;14442.13;"2024-05-14 00:00:00";"2025-06-26 00:00:00";"AGT5295";"Cancelled"
"POL50218";"CUST11441";"Whole";663149.96;26133.14;"2022-05-10 00:00:00";"2023-06-08 00:00:00";"AGT5057";"Cancelled"
"POL50219";"CUST12247";"Property";391229.22;23915.62;"2022-06-26 00:00:00";"2023-08-03 00:00:00";"AGT5042";"Cancelled"
"POL50220";"CUST10643";"Whole";943943.8;26232.26;"2022-04-17 00:00:00";"2023-05-11 00:00:00";"AGT5011";"Lapsed"
"POL50221";"CUST10805";"Term";929518.19;10419.4;"2023-03-05 00:00:00";"2023-05-10 00:00:00";"AGT5126";"Active"
"POL50222";"CUST12471";"Vehicle";245834.42;29534.16;"2023-06-23 00:00:00";"2024-05-10 00:00:00";"AGT5144";"Lapsed"
"POL50223";"CUST10243";"Vehicle";117809.29;3611.09;"2020-08-23 00:00:00";"2021-02-11 00:00:00";"AGT5038";"Active"
"POL50224";"CUST10274";"Property";478791.82;15317.66;"2022-07-12 00:00:00";"2023-06-01 00:00:00";"AGT5089";"Cancelled"
"POL50225";"CUST10809";"Property";542601.51;22080.32;"2022-10-25 00:00:00";"2024-10-20 00:00:00";"AGT5262";"Lapsed"
"POL50226";"CUST10692";"Vehicle";454739.18;30669.3;"2021-04-15 00:00:00";"2022-07-03 00:00:00";"AGT5072";"Lapsed"
"POL50228";"CUST11508";"Whole";581822.99;37021.34;"2023-01-03 00:00:00";"2024-08-23 00:00:00";"AGT5116";"Cancelled"
"POL50229";"CUST10444";"Term";108957.07;30366.05;"2022-04-21 00:00:00";"2023-12-28 00:00:00";"AGT5249";"Lapsed"
"POL50231";"CUST11652";"Term";380713.35;8907.01;"2024-04-08 00:00:00";"2024-09-08 00:00:00";"AGT5170";"Active"
"POL50232";"CUST11807";"Property";746863.93;40497.4;"2024-03-14 00:00:00";"2025-01-30 00:00:00";"AGT5124";"Active"
"POL50233";"CUST11181";"Whole";879714.64;21642.74;"2023-09-09 00:00:00";"2024-06-15 00:00:00";"AGT5075";"Lapsed"
"POL50234";"CUST12201";"Vehicle";418418.33;11682.2;"2023-05-24 00:00:00";"2025-02-10 00:00:00";"AGT5195";"Cancelled"
"POL50237";"CUST10123";"Term";814439.2;17822.44;"2023-07-24 00:00:00";"2024-02-02 00:00:00";"AGT5287";"Active"
"POL50240";"CUST12039";"Vehicle";786302.94;7756.59;"2022-09-17 00:00:00";"2023-03-11 00:00:00";"AGT5116";"Active"
"POL50241";"CUST11846";"Term";356297.61;9645.58;"2021-11-20 00:00:00";"2023-07-12 00:00:00";"AGT5177";"Cancelled"
"POL50244";"CUST11884";"Whole";643035.95;33473.12;"2024-01-05 00:00:00";"2025-05-07 00:00:00";"AGT5022";"Cancelled"
"POL50246";"CUST10425";"Property";370444.23;38763.33;"2024-07-23 00:00:00";"2024-12-27 00:00:00";"AGT5212";"Cancelled"
"POL50247";"CUST12047";"Whole";408558.88;26190.83;"2021-04-02 00:00:00";"2022-11-16 00:00:00";"AGT5040";"Lapsed"
"POL50248";"CUST10898";"Property";156868.01;38217.37;"2023-11-20 00:00:00";"2024-09-30 00:00:00";"AGT5019";"Active"
"POL50249";"CUST11490";"Vehicle";814302.93;20736.86;"2023-09-21 00:00:00";"2024-11-18 00:00:00";"AGT5293";"Cancelled"
"POL50250";"CUST11217";"Term";582665.68;43611.15;"2023-08-10 00:00:00";"2024-02-04 00:00:00";"AGT5213";"Lapsed"
"POL50251";"CUST11982";"Whole";691552.76;20665.94;"2023-02-25 00:00:00";"2024-07-14 00:00:00";"AGT5107";"Cancelled"
"POL50252";"CUST10444";"Whole";748754.22;27905.96;"2023-08-07 00:00:00";"2024-05-25 00:00:00";"AGT5213";"Active"
"POL50253";"CUST11922";"Whole";878387.32;8412.62;"2022-10-20 00:00:00";"2022-12-11 00:00:00";"AGT5278";"Active"
"POL50256";"CUST11746";"Health";960119.5;18208.77;"2023-12-04 00:00:00";"2023-12-17 00:00:00";"AGT5060";"Lapsed"
"POL50258";"CUST10076";"Property";456313.61;42060.68;"2022-04-27 00:00:00";"2024-03-12 00:00:00";"AGT5281";"Lapsed"
"POL50259";"CUST12195";"Vehicle";283469.03;14576.5;"2022-12-20 00:00:00";"2023-03-09 00:00:00";"AGT5109";"Cancelled"
"POL50260";"CUST10896";"Property";498184.46;18257.56;"2023-10-16 00:00:00";"2024-12-09 00:00:00";"AGT5119";"Lapsed"
"POL50261";"CUST12063";"Property";777588.68;5700.57;"2020-07-27 00:00:00";"2022-01-14 00:00:00";"AGT5011";"Lapsed"
"POL50262";"CUST10583";"Property";642496.68;8681.65;"2024-03-31 00:00:00";"2025-05-19 00:00:00";"AGT5195";"Cancelled"
"POL50264";"CUST10256";"Health";279970.95;5761.99;"2023-05-25 00:00:00";"2024-05-23 00:00:00";"AGT5268";"Cancelled"
"POL50265";"CUST11705";"Vehicle";951085.18;4167.7;"2022-08-29 00:00:00";"2024-11-12 00:00:00";"AGT5157";"Cancelled"
"POL50268";"CUST10250";"Term";532270.2;16989.64;"2024-05-06 00:00:00";"2025-04-04 00:00:00";"AGT5194";"Active"
"POL50270";"CUST10743";"Term";685885.57;34057.69;"2021-09-08 00:00:00";"2024-02-16 00:00:00";"AGT5063";"Lapsed"
"POL50272";"CUST11273";"Vehicle";190509.79;23044.22;"2022-12-15 00:00:00";"2024-11-26 00:00:00";"AGT5254";"Active"
"POL50273";"CUST12163";"Property";233638.37;35755.39;"2023-06-10 00:00:00";"2023-12-07 00:00:00";"AGT5098";"Active"
"POL50274";"CUST12276";"Vehicle";637347.81;33618.68;"2022-09-17 00:00:00";"2024-08-20 00:00:00";"AGT5180";"Cancelled"
"POL50276";"CUST11546";"Property";674160.89;20058.92;"2022-04-28 00:00:00";"2023-09-09 00:00:00";"AGT5197";"Lapsed"
